"filename", "language", "C#", "JSON", "PlantUML", "Python", "Solution File", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\.github\workflows\dotnet-desktop.yml", "YAML", 0, 0, 0, 0, 0, 0, 53, 45, 18, 116
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Bishop.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Board.cs", "C#", 231, 0, 0, 0, 0, 0, 0, 17, 43, 291
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\BoardEvent.cs", "C#", 233, 0, 0, 0, 0, 0, 0, 11, 36, 280
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\BoardRenderer.cs", "C#", 124, 0, 0, 0, 0, 0, 0, 7, 23, 154
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\BoardSetupScreen.cs", "C#", 163, 0, 0, 0, 0, 0, 0, 5, 27, 195
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Button.cs", "C#", 54, 0, 0, 0, 0, 0, 0, 0, 10, 64
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\CastleMove.cs", "C#", 68, 0, 0, 0, 0, 0, 0, 2, 9, 79
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess.csproj", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess.sln", "Solution File", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\ChessApiBot.cs", "C#", 79, 0, 0, 0, 0, 0, 0, 4, 13, 96
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\ChessBot.cs", "C#", 170, 0, 0, 0, 0, 0, 0, 24, 35, 229
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess_Core_Logic_UML.puml", "PlantUML", 0, 0, 143, 0, 0, 0, 0, 6, 25, 174
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess_Features_UML.puml", "PlantUML", 0, 0, 173, 0, 0, 0, 0, 9, 30, 212
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess_UI_States_UML.puml", "PlantUML", 0, 0, 142, 0, 0, 0, 0, 6, 21, 169
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess_UML.puml", "PlantUML", 0, 0, 267, 0, 0, 0, 0, 11, 46, 324
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Circle.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Clock.cs", "C#", 68, 0, 0, 0, 0, 0, 0, 0, 12, 80
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Direction.cs", "C#", 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\DoublePawnMove.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\EnPassantMove.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Game.cs", "C#", 55, 0, 0, 0, 0, 0, 0, 0, 11, 66
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\GameplayScreen.cs", "C#", 354, 0, 0, 0, 0, 0, 0, 48, 70, 472
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IBot.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IDrawable.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IGameMode.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IMove.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IPiece.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
